127.0.0.1 - - [03/Apr/2019:11:21:38 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:01 +0530] "GET /CollFrontend/ HTTP/1.1" 200 5475
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:01 +0530] "GET /CollFrontend/blog//BlogController.js HTTP/1.1" 200 1059
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:01 +0530] "GET /CollFrontend/js//MyAngular.js HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:01 +0530] "GET /CollFrontend/user//UserController.js HTTP/1.1" 200 3029
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:01 +0530] "GET /CollFrontend/services/BlogService.js HTTP/1.1" 200 794
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:01 +0530] "GET /CollFrontend/blog//BlogOperationController.js HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:01 +0530] "GET null HTTP/1.1" 400 2319
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:02 +0530] "GET /CollFrontend/main.html HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:04 +0530] "GET /CollFrontend/user/Login.html HTTP/1.1" 200 684
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:06 +0530] "GET /CollFrontend/user/SignUp.htm HTTP/1.1" 200 2447
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:28 +0530] "GET /CollFrontend/blog/Blogs.html HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:22:29 +0530] "GET /CollMiddleware/blogsApproved HTTP/1.1" 200 459
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:23:17 +0530] "POST /CollMiddleware/login HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:23:18 +0530] "GET /CollFrontend/user/UserHome.html HTTP/1.1" 200 81
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:23:18 +0530] "GET /CollMiddleware/getimage?email=divyanshu@gmail.com HTTP/1.1" 200 4714
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:23:23 +0530] "GET /CollFrontend/blog/AllBlogs.html HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [03/Apr/2019:11:23:23 +0530] "GET /CollMiddleware/blogsApproved HTTP/1.1" 200 459
